prof_id,rec_id,x,y,cds2d,z,cds3d,dirslop
1,239,454828.4312179982,960933.2118079823,214161.061842063,554.6175814632979,214274.74297974285,0.43016756907436055
1,240,454297.0936792645,961681.8006679923,215079.05141792906,561.5098302026106,215192.75842868225,0.08403301965710813
1,241,453704.2413496868,962438.9420121536,216040.68383196468,562.920212157097,216154.39187698843,1.6655518822360573
1,242,453768.00988277805,963392.7064776728,216996.57769715044,590.7152687090377,217110.68976293638,-1.9992791618747143
1,243,452901.1709031647,963608.7303339713,217889.92876088023,559.5300150867299,218004.5849710624,-0.8422271367997903
1,244,452077.4748366528,964044.308810147,218821.70331456512,545.8322811535285,218936.46020241562,0.43612881372233714
1,245,451261.3219464206,963855.4385959973,219659.42492585813,552.2090438424991,219774.206083414,-3.596798505540287
1,246,451242.29532405705,964807.7701723799,220611.94654962,492.3348970049245,220728.60765361047,-3.4475112261320238
1,247,451390.5588089362,965485.0582266685,221305.27271343512,450.5667501374491,221423.1908001979,-2.6359877774663802
1,248,451773.4967165647,966378.3028725956,222277.1407284332,405.8227701863944,222396.08825744514,-0.9453827915794938
1,249,452054.44254269893,967304.5894085582,223245.09594636832,389.85001848358104,223364.17525391025,-0.02907345054487955
1,250,452357.24062030856,968240.9327376818,224229.18207359413,389.3506661394723,224348.2615078286,-0.7950153662046873
1,251,452297.48122612725,969232.5774245969,225222.62576615042,375.56511859230847,225341.80084353758,0.009131246864079647
1,252,452301.5564056124,970229.5838952152,226219.64056520938,375.72401316380734,226338.8156552581,-0.005742538313871799
1,253,452427.59443331,971217.5643416677,227215.62798832194,375.62418912781175,227334.80308337315,-0.3300197365691798
1,254,452592.0570326765,972188.9815263454,228200.86871691444,369.94920775363903,228320.0601557614,0.002934810530284492
1,255,452825.25390990096,973152.7789481167,229192.47663023518,370.0,229311.668070383,-0.45069000923909586
1,256,453325.5681293706,973969.9361715914,230150.6312347121,362.46297689204613,230269.85231821725,1.1990444029893492
1,257,453956.8166751607,974701.9345553728,231117.2213031593,382.69402433998727,231236.6540847142,-1.1768492915941966
